,Province/State,Country/Region,Lat,Long,ReportDate,ConfirmedCases,Deaths,US_State
0,Unknown,Afghanistan,33.0,65.0,2020-01-22,0,0,
1,Unknown,Albania,41.1533,20.1683,2020-01-22,0,0,
2,Unknown,Algeria,28.0339,1.6596,2020-01-22,0,0,
3,Unknown,Andorra,42.5063,1.5218,2020-01-22,0,0,
4,Unknown,Angola,-11.2027,17.8739,2020-01-22,0,0,
5,Unknown,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,
6,Unknown,Argentina,-38.4161,-63.6167,2020-01-22,0,0,
7,Unknown,Armenia,40.0691,45.0382,2020-01-22,0,0,
8,Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,0,
9,New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,
10,Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,
11,Queensland,Australia,-28.0167,153.4,2020-01-22,0,0,
12,South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,
13,Tasmania,Australia,-41.4545,145.9707,2020-01-22,0,0,
14,Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,
15,Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,
16,Unknown,Austria,47.5162,14.5501,2020-01-22,0,0,
17,Unknown,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,
18,Unknown,Bahamas,25.0343,-77.3963,2020-01-22,0,0,
19,Unknown,Bahrain,26.0275,50.55,2020-01-22,0,0,
20,Unknown,Bangladesh,23.685,90.3563,2020-01-22,0,0,
21,Unknown,Barbados,13.1939,-59.5432,2020-01-22,0,0,
22,Unknown,Belarus,53.7098,27.9534,2020-01-22,0,0,
23,Unknown,Belgium,50.8333,4.0,2020-01-22,0,0,
24,Unknown,Benin,9.3077,2.3158,2020-01-22,0,0,
25,Unknown,Bhutan,27.5142,90.4336,2020-01-22,0,0,
26,Unknown,Bolivia,-16.2902,-63.5887,2020-01-22,0,0,
27,Unknown,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,0,
28,Unknown,Brazil,-14.235,-51.9253,2020-01-22,0,0,
29,Unknown,Brunei,4.5353,114.7277,2020-01-22,0,0,
30,Unknown,Bulgaria,42.7339,25.4858,2020-01-22,0,0,
31,Unknown,Burkina Faso,12.2383,-1.5616,2020-01-22,0,0,
32,Unknown,Cabo Verde,16.5388,-23.0418,2020-01-22,0,0,
33,Unknown,Cambodia,11.55,104.9167,2020-01-22,0,0,
34,Unknown,Cameroon,3.848,11.5021,2020-01-22,0,0,
35,Alberta,Canada,53.9333,-116.5765,2020-01-22,0,0,
36,British Columbia,Canada,49.2827,-123.1207,2020-01-22,0,0,
37,Grand Princess,Canada,37.6489,-122.6655,2020-01-22,0,0,
38,Manitoba,Canada,53.7609,-98.8139,2020-01-22,0,0,
39,New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0,0,
40,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0,0,
41,Nova Scotia,Canada,44.682,-63.7443,2020-01-22,0,0,
42,Ontario,Canada,51.2538,-85.3232,2020-01-22,0,0,
